month,actual,sarima_pred,xgb_pred
2024-12-01,143.07,220.174368931924,214.0507
2024-12-01,292.59,222.82745801590568,234.6147
2024-12-01,308.82,232.55274444467648,203.769
2024-12-01,191.08,215.82313304789596,267.18524
2024-12-01,181.45,227.03096445917274,219.8519
2024-12-01,110.26,217.15353471998915,183.95099
2025-01-01,,,243.63448
2025-02-01,,,234.4134
2025-03-01,,,238.41812
2025-04-01,,,221.05008
2025-05-01,,,187.16725
2025-06-01,,,168.97037
